Business LIcense,Violation Date,Violation,Inspector Comments
09FOOD-0087,2/20/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Do not store fresh whole eggs above ready to eat bread and cheese in the refrigerator unit in the back dining room as raw foods can contaminate ready to eat foods
09FOOD-0087,2/20/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Found an unlabeled grey spray bottle in the downstairs front restroom |  and an unlabeled clear spray bottle storing an orange liquid in the downstairs bathroom.
09FOOD-0029,2/21/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Found 2 unlabeled spray bottles in the dishwashing area.Label the spray bottles to correctly identify the liquids.
09FOOD-0029,2/21/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.1. PIC is not knowledgeable in food service management. PIC did not know manual dishwashing procedures or chemical used to sanitize.2. All employees have Illinois Food Handle Certificates.FSSMC Yi Qiana Zhao exp 2/22/21FSSMC Dexin Tan exp 5/3/22I was told by the off site manager Tom that Yi Qiana does not speak English
09FOOD-0029,2/21/18,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION.Back hansink obstructed from use by a bucket in the sink and boxes in front of the sink. Keep the handsink free and clear at all times for handwashing.
09FOOD-0029,2/21/18,(39) VENTILATION: Rooms and equipment; vented as required.,1.Clean the floor under the ice  machine to remove the filthy food residue and items that are on the floor.2 clean the floor under the dishmachine  | Nader moveable equipment to remove visible food residue.
09FOOD-0252,2/21/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Please assure food is covered in containers in freezer.
09FOOD-0029,2/21/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,1. Shelves are filthy with dried greasy oily food residue under work tables in the cook line and prep line. Do not use spiral paper notebooks as shelf liner. Remove the paper notebooks and clean the shelves daily. The notebooks are filthy and so is the cart shelves.
14FOOD-0035,2/21/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Please cover prepared foods in coolers in lower level kitchen area.
14FOOD-0035,2/21/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / IodineStore wiping cloths in sanitizing solution when not in use.
09FOOD-0029,2/21/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.The tempura batter was out on a counter at 57 F so it was discarded. Keep all batter refrigerated or use time to control bacteria by time labeling
09FOOD-0029,2/21/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Do not use plastic containers to dispense bulk products . Dispensing utensils shall have handles which can be extended out of the food.
09FOOD-0029,2/21/18,"(25) FOOD EQUIPMENT AND UTENSILS: Single-service articles: storage, dispensing.",Do not store single service items on top of refrigerator units b CSU's the tops of refrigerator units are not considered food equipment storage areas. Store equipment on NSF shelves.
09FOOD-0029,2/21/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Clean the plastic container storing maintenance equipment on the floor by the walkin in as it is filled with food debris and dust. Store container off the floor.
09FOOD-0029,2/21/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",1.Remove the wooden shelf from inside the freezer and above the ice machine Wood is not a commercial material. Purchase an NSF shelf for the freezers day shelving above the ice machine.2. Paper cardboard boxes cannot be reused as they are not washable or durable. Remove all flattened cardboard boxes on shelves as well as boxes that are reused in the cook line to store ingredients.
09FOOD-0029,2/21/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",The cook line handsink is filthy to include the faucet handles. Please clean daily.
09FOOD-0251,2/23/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. 1. 2-door cooler |  located by back door |  is holding food at 52F. Immediately discontinue use of cooler and discard potentially hazardous food (spring rolls and seafood was discarded). Have cooler serviced. Do not store any food in cooler until it has been serviced and is maintaining 41F or below. 2. Front cooler is overly stuffed with food. Decrease the quantity of food in cooler. This will help air flow properly to keep food at 41F or below.
09FOOD-0251,2/23/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Multiple surfaces are soiled. Please provide thorough cleaning of surfaces on a regular basis.
09FOOD-0251,2/23/18,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Dish machine's concentration of sanitizer is 0-10ppm Chlorine. The concentration must be 50ppm chlorine. Have machine serviced.
09FOOD-0345,2/23/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths were found on prep tables. Cloths should be store in a sanitizer bucket (50-100ppm chlorine) between use.
09FOOD-0251,2/23/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Pesticide found in cupboard next to front |  hand wash sink. Remove all pesticides from the food establishment. Only a certified pest control operator should provide treatment.
09FOOD-0245,12/7/18,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Bowl of raw chicken found stored on storage rack for clean dishes. Do not store raw chicken above or next to clean dishes.
09FOOD-0083,7/10/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,observed thermometer missing in refrigerator.  Please display thermometer conspicuously
14FOOD-0035,10/25/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,observed ice scoop laying in ice machine.  Please assure scoop is stored in ice with handle sticking out or in clean container to prevent contamination
18FOOD-0008,11/27/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Packages of food found stored on the floor. Store all items at least 6 inches above the floor.
09FOOD-0073,3/14/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Install a floor drain cover on the open floor drain in front of the dishmachine
09FOOD-0170,5/31/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floor near the baseboard throughout the kitchen is soiled. Sweep and mop all areas of the floor everyday. The floor grout in front of the Wok station is in disrepair. Repair the damage to prevent standing water and accumulating food.
14FOOD-0040,4/16/18,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. A cooler along the cook line is not working properly. Do not use the cooler until it has been repaired and can hold PHF at or below 41 F.
10FOOD-0008,10/3/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / IodineObserved wiping cloth sitting on top of small ice storage and table. Please store wiping cloths in sanitizing solution when not in use
12FOOD-0046,6/8/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Thermometers are not provided in the majority of the coolers. Place a thermometer in each cooler.
09FOOD-0244,12/4/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The door panel to the dairy walk in cooler is in disrepair. Reseal the door panel.
09FOOD-0077,11/12/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Containers of chili and broccoli cheddar soup were found in the downstairs walk-in cooler with a date older than 7 days. Discard. Prepared foods must be served or discarded within 7 days.
14FOOD-0026,3/7/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Surface of 3 compartment sink is soiled. Wash and sanitize the surface of the drain boards and basins.
09FOOD-0244,4/2/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The baseboard under the 3 compartment sink in the produce prep room is missing. Replace the missing baseboard. There is a spill of sugar under the pallet in the back of the store. Immediately clean spills.
09FOOD-0151,10/31/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,observed thermometer missing for walk in.  please provide and display a secondary thermometer conspicuously.
09FOOD-0053,9/24/18,(38) LIGHTING: Provided as required; fixtures shielded.,Lighting in back walk-cooler is too dim. Replace burnt out light bulbs.
09FOOD-0090,12/11/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Observed ingredient dispenser and ice dispenser in ingredient. Please store out of ingredient in a clean container or with handle out of product.
09FOOD-0066,8/31/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Date labeling in the walk in cooler is not consistent. Develop a consistent date labeling method to ensure food is kept no longer than 7 days.
09FOOD-0170,9/6/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",To go containers are not stored correctly. Store the containers upside down to prevent debris from falling in.
09FOOD-0216,3/2/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Multiple soiled wiping cloths found on counters throughout the kitchen. Store wiping cloths in a sanitizing solution between use.
09FOOD-0357,7/26/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. Observed food items such as beef and cut vegetables in basement walk in cooler uncovered. Please assure foods stored in walk in are fully covered. 2. Also in basement observed lids off of spices and open bags of noodles. Please assure these items have lids and all food items are properly protected.
17FOOD-0004,6/18/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor grout in the cook area is being worn away. Re-grout the floor tiles.
09FOOD-0073,7/9/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",There is no soap at the kitchen hand sink.  Maintain a supply of hand soap at each hand sink.
09FOOD-0215,3/8/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Open bags of food (rice and meal) found in storage. Tightly close or seal all food placed in storage.
09FOOD-0389,10/10/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Sanitizer concentration in spray bottle was too strong. Concentration was diluted to 100ppm chlorine. The spray bottle only needs a few drops of concentrated bleach added to clean water.
18FOOD-0042,9/14/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. The manager has taken and passed a CFM course and is waiting to receive the certificate. Obtain the certificate within 90 days.
09FOOD-0163,3/22/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",1.The inside lid of the front chest freezer is severely cracked and temporarily taped. It will be necessary to replace the inside chest freezer lid.2. The inside of the wooden refrigerator is visibly warped |  deteriorated and soiled with food accumulation.Wood is no longer an approved material and surface for a food storage unit due to its difficulty to clean. Do your best to remove the food accumulation on the interior of the refrigerator.
14FOOD-0026,10/8/18,(6) FOOD PROTECTION: Potentially hazardous food properly thawed.,Frozen tuna was found thawing on the counter at room temperature. Thaw items in a cooler or under cool |  running water.
09FOOD-0358,8/27/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The in counter ice bin near the tea station is in disrepair. Seal the openings surrounding the bin
16FOOD-0001,5/17/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The gaskets to the bakery cooler are in disrepair. Replace the damaged gaskets.
09FOOD-0215,12/5/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Multiple surfaces contain food debris or dust buildup. Clean surfaces. Clean the fan located in the basement.
09FOOD-0077,11/12/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Food splatter found on ceiling. Clean.
09FOOD-0367,8/1/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths found on counter tops. Store wiping cloths in a sanitizing solution between use.
09FOOD-0120,9/27/18,(1) FOOD: Source: wholesome; no spoilage,CRITICAL VIOLATION. Food is being offered for sale that has been made at a private residence. The owner has been told the food cannot be sold.
09FOOD-0424,7/20/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Fruit fly strips are being used within the facility. These are not intended to be used in food establishments. They were discarded.
17FOOD-0007,10/11/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Holes in wall next to fryer. Seal holes and repair coving to create a smooth surface and for pest prevention.
09FOOD-0303,9/5/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. FSSMC expired. New certificate is not onsite. Email certificate within 30 days.
09FOOD-0344,8/15/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Basement contains clutter. Remove or organize items in a way to allow thorough cleaning and pest treatment in basement.
09FOOD-0344,4/6/18,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Multiple dead pests (unable to identify if they are cockroaches or water bugs) found on the floor in the basement. Anderson Pest Control treats the establishment on a regular basis. Continue having Anderson target this specific pest. Clean basement more frequently to remove dead pest. No live pests were observed during the inspection.
09FOOD-0369,10/24/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Observed wiping cloths on tables and cutting boards. Please store wiping cloths in sanitizing solution when not in use.
09FOOD-0251,6/14/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Cooked rice was found at a temperature of 81F. Rice was not rapidly cooled. In order to prevent bacterial growth |  heated foods must cool from 135F to 70F within 2 hours and from 70F to 41F within 4 hours.
09FOOD-0344,8/15/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths were found on counter tops. Store wiping cloths in a sanitizing solution between use.
10FOOD-0050,12/17/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Multiple wiping cloths found on counters. Store wiping cloths in a sanitizing solution between use.
09FOOD-0087,6/12/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. There is no certified food safety manager on site. A certified food safety manager must be on site at all times potentially hazardous food are being handled. Enroll staff to become a certified food manager within 3 months. All staff must be a certified food handler. Have employees receive the certificate within 30 days.
12FOOD-0024,4/20/18,(2) FOOD: Original Container; properly labeled.,2 spray bottles are missing labels. Provide a label.
09FOOD-0247,7/23/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.  Not currently on site. A food protection manager must be on site during all hours of food preparation.
14FOOD-0042,9/26/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Certified food service manager certificate not displayed. Chef Edgar has certified food service manager certificate but not on him. Manager will email copy.
09FOOD-0216,3/2/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. 1. Shrimp was found stored above the prep cooler line. Shrimp was 45F. Move below the cooler line in order to maintain 41F or below. 2. Shrimp tempura was sitting at room temperature (71F). Store shrimp in a cooler to maintain 41F or below.
17FOOD-0045,11/26/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Loose plywood is being used as a shelf liner under the front prep station. Repair the shelf to meet NSF or equivalent standards.
09FOOD-0173,8/29/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Fruit fly strips containing dichlorvos are being used. These are not allowed in restaurants. Remove the strip under the ice machine and under the hand sink in the bar.
12FOOD-0049,3/22/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",1. Lid for sugar bin is cracked. Replace. 2. Rubber gaskets for prep cooler drawers are in disrepair. Replace.
15FOOD-0029,8/22/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. Store the wipe cloths in a sanitizer bucket when not in use.
09FOOD-0358,4/26/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Cut leafy greens and a container of Half  and  Half we're sitting out at 68 F. Both were discarded.
09FOOD-0245,12/7/18,(6) FOOD PROTECTION: Potentially hazardous food properly thawed.,Meat found stored in a container of water. Meat can only be thawed in a refrigerator |  under cool running water |  or in a microwave.
09FOOD-0240,12/12/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. In basement: Observed eggs stored on top of other food items in walk in. Please store eggs on lowest shelf to prevent cross contamination. 2. Food prep cooler opposite range has plastic bag remains hanging from the inside of the lid. Please remove |  discard or trim so as to not contaminate the food items.
09FOOD-0247,7/23/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. Sliced cheese is over stacked in prep cooler. This prevents the cheese from holding proper temperature. Always store cheese below the cooler line. 2. Food found stored on the floor of the walk-in cooler. Store all food at least 6 inches above the floor. 3. Food shelf stored next to mop sink. Do not store food near mop sink. Move all food items away from sink.
10FOOD-0009,4/25/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Soap and paper towels missing from the back hand wash sink. Provide ASAP.
09FOOD-0232,3/14/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Clean the inside of the downstairs ice machine in the front right corner of the white plastic to remove the visible pink slime
09FOOD-0173,12/26/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The deli slicer is soiled. Clean and sanitize the deli slicer after each use. The baffle filters of the fume hood are soiled. Clean the baffle filters as needed.
16FOOD-0013,11/27/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",observed food scraps on floors and prep tables.  Please assure food is cleaned up after food service and not left over night.
09FOOD-0069,10/2/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Observed burger patty's open and unpackaged as well as cut vegetables without container lids. Please assure all food items are properly covered and in original packaging or in an approved/ covered container.
15FOOD-0013,10/2/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Observed secondary thermometer in walk in to be missing. Please assure thermometers are displayed and conspicuous.
09FOOD-0108,3/22/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Clean and sanitize the temperature snide if the ice machine to remove the visible yellow slime discoloration. Ice machine need regular sanitizing.
14FOOD-0005,3/27/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,1.The top of the knife rack in the service area is visibly soiled |  along with the drawers by the dishmachinePlease clean to remove visible food residue.The sides of the fryer |  exterior of the Vulcan oven and stove top and doors and door handles  are visibly soiled with food and grease buildup. Please remove visible food residue where you can see it and feel it.2. In the service area |  please clean the under cabinet areas below the sneeze shields to remove food debris.
09FOOD-0063,10/29/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / Iodineobserved wiping cloths on tables/cutting boards.  please store wiping cloths in sanitizer while not in use to prevent pathogen growth
09FOOD-0384,10/26/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Raid found in cabinet under sink. Remove raid from the kitchen. Only a certified pest control operator can provide pest treatment.
15FOOD-0054,10/26/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Observed ingredient scoops stored in ingredients. Please store food scoops in ingredients with handle sticking out or in a clean container to prevent contamination.
09FOOD-0117,12/31/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under all shelving units is soiled. Sweep and mop the floors everyday.The floor behind prep equipment on the first floor and in the basement is soiled. Sweep and mop the floors everyday.An egg broke on the floor in the walk in cooler. Clean up all spills immediately.
09FOOD-0359,4/13/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",A dirty knife was found in the knife rack. The knife was removed and placed at 3 compartment sink for cleaning.
16FOOD-0023,6/19/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",The gaskets on the cook line cooler are torn. Replace the gaskets.
09FOOD-0186,8/13/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The electrical outlet cover near the 3 compartment sink is damaged. Replace the cover.
10FOOD-0019,12/31/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall in the dairy walk in cooler is damaged. Repair the wall to be smooth and easily cleanable.
15FOOD-0005,4/5/18,"(12) PERSONNEL: Hands washed; clean, good hygienic practices.",CRITICAL VIOLATION. An employee was observed handling money followed by working with food without washing their hands. The employee was stopped and the importance of when to wash hands was discussed.
09FOOD-0073,7/9/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. Store the wipe cloths in a sanitizer bucket when not in use.
16FOOD-0032,12/5/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Storage area is very cluttered with multiple pieces of tin foil and paper towels found on the shelves. Discard this trash.
09FOOD-0335,11/20/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",A plastic bag is being used to collect grease/oil from the fume hood. Use a container instead of a plastic bag.
10FOOD-0009,12/6/18,(2) FOOD: Original Container; properly labeled.,Spray bottles were found without a label. Provide a label.
09FOOD-0375,12/14/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Back cooler was found holding sliced cheese at 47F. This is likely due to blocked air flow in the cooler. Remove items from the lower shelves until cooler is serviced to hold 41F or below in each section. Cheese was discarded. Top food items were found holding 41F.
09FOOD-0066,4/26/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor in the kitchen is in disrepair. Re grout the damaged tile. The floor under the cook line equipment is soiled. Routinely clean the floor. The floor under the coffee makers in the wait station is soiled. Routinely clean the floor. The floor surrounding the grease trap is soiled. Routinely clean the floor.
09FOOD-0029,9/27/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floors under the cook line coolers are soiled. Routinely clean the floors.The floors under the wok station are soiled. Routinely clean the floors.The floors under the shelving in the walk in cooler are soiled. Routinely clean the floors.
15FOOD-0005,12/17/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,Some staff do not have food handlers. Ensure staff have a food handler certificate within 30 days of hire. Course providers can be found here: https://www.ansi.org/Accreditation/credentialing/certificate-issuers/AllDirectoryListing?prgID=237 pct 2C238 and statusID=4
16FOOD-0022,10/2/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Paper towels missing from front hand sink. Provide paper towels.
10FOOD-0019,12/31/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The sides of the fryer and stove is soiled. Routinely clean all food contact surfaces.The baffle filters under the fume hood are soiled. Routinely clean the baffle filters.
17FOOD-0005,8/9/18,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",Detergent bottle for dish machine is empty. Provide detergent for washing.
09FOOD-0029,6/12/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",The gaskets to the cooler under the sushi area are torn. Replace the gaskets.
16FOOD-0043,9/11/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",There are no paper towels to the back hand sink. Maintain a supply of paper towels at each sink.
17FOOD-0001,3/5/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Parts of the slicer contained food debris. Clean and sanitize all areas of the slicer after each use.
09FOOD-0224,5/8/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. Store the wipe cloths in a sanitizer bucket when not in use.
13FOOD-0045,7/27/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Food debris and spilled milk or water found on multiple surfaces. Clean.
09FOOD-0233,6/19/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Dust buildup on near back door and dry storage shelves. Clean.
09FOOD-0077,7/20/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths found on counters in the kitchen. Store wiping cloths in a sanitizing solution between use.
09FOOD-0372,11/26/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Observed excessive food scraps on floor in freezer under shelves and pallets. Please remove pallets from floor for easier cleaning and clean and sanitize floors.
09FOOD-0303,9/5/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Noodles with vegetables was found holding 115F. Food must be held at 135F or above. Food is to be reheated to 165F before serving.
14FOOD-0040,12/18/18,"(29) PLUMBING: Installed, maintained",The spray hose before the dish machine is leaking. Contact a licensed plumber to repair the leak.
09FOOD-0358,12/18/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Packaged tofu and cooked egg rolls were being stored in the front small walk in cooler at 49 F. They were moved to another cooler to lower the temperature.
09FOOD-0170,5/31/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Numerous ceiling tiles are soiled. Clean or replace the soiled ceiling tiles. The ceiling vents are soiled. Routinely clean the vents. The ceiling and wall panels around the mop sink are in disrepair. Replace the damaged/missing panels.
14FOOD-0050,11/28/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",A plastic tie is being used as a handle to the hot hold station lid. Remote the plastic and replace with a handle that meets NSF or equivalent standards.
15FOOD-0049,8/1/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor between the ice machine and hand sink in the kitchen is soiled. Routinely clean all floors.
14FOOD-0026,10/8/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",A bottle of water was found stored in the ice machine. Do not store food or drink items in the ice.
